,Link
0,http://www.sketchup.com
1,http://www.solidworks.com
2,http://www.ncsoft.com
3,http://www.3ds.com
4,http://www.partcommunity.com
5,http://www.shapeways.com
6,http://www.ptc.com
7,http://www.bentley.com
8,http://www.synopsys.com
9,http://www.altium.com
10,http://www.graphisoft.com
11,http://www.revitcity.com
12,http://www.cadforum.cz
13,http://www.mentor.com
14,http://www.cadence.com
15,http://www.traceparts.com
16,http://www.augi.com
17,http://www.cad-blocks.net
18,http://www.cadtutor.net
19,http://www.openlayers.org
20,http://www.caddetails.com
21,http://www.chiefarchitect.com
22,http://www.cadsofttools.com
23,http://www.aveva.com
24,http://www.autodwg.com
25,http://www.opencores.org
26,http://www.cadalyst.com
27,http://www.blocklayer.com
28,http://www.labcenter.com
29,http://www.ellenfinkelstein.com
30,http://www.soliddocuments.com
31,http://www.solidcam.com
32,http://www.opencascade.com
33,http://www.tina.com
34,http://www.ironcad.com
35,http://www.verosoftware.com
36,http://www.emastercam.com
37,http://www.draftsperson.net
38,http://www.cadhatch.com
39,http://www.ceco.net
40,http://www.esi-group.com
41,http://www.dptechnology.com
42,http://www.archiradar.it
43,http://www.turbocad.com
44,http://www.topsolid.com
45,http://www.solidthinking.com
46,http://www.autodesk.blogs.com
47,http://www.bobcad.com
48,http://www.softplan.com
49,http://www.opendesign.com
