,Link
0,http://www.ieee.org
1,http://www.proquest.com
2,http://www.acm.org
3,http://www.safaribooksonline.com
4,http://www.cdac.in
5,http://www.uci.edu
6,http://www.princeton.edu
7,http://www.washington.edu
8,http://www.mit.edu
9,http://www.uni-trier.de
10,http://www.ingentaconnect.com
11,http://www.cornell.edu
12,http://www.computer.org
13,http://www.wisc.edu
14,http://www.nitrkl.ac.in
15,http://www.reviews.com
16,http://www.toronto.edu
17,http://www.utexas.edu
18,http://www.opengl.org
19,http://www.illinois.edu
20,http://www.umd.edu
21,http://www.tifr.res.in
22,http://www.brown.edu
23,http://www.nist.gov
24,http://www.colorado.edu
25,http://www.iiit.ac.in
26,http://www.nyu.edu
27,http://www.columbia.edu
28,http://www.vt.edu
29,http://www.apache.org
30,http://www.uwaterloo.ca
31,http://www.umass.edu
32,http://www.cmb.ac.lk
33,http://www.duke.edu
34,http://www.unsw.edu.au
35,http://www.ubc.ca
36,http://www.upenn.edu
37,http://www.cti.gr
38,http://www.www6.in.tum.de
39,http://www.cs.ucl.ac.uk
40,http://www.iiita.ac.in
41,http://www.cs.yale.edu
42,http://www.usenix.org
43,http://www.cse.ust.hk
44,http://www.cs.virginia.edu
45,http://www.cs.colostate.edu
46,http://www.cs.auckland.ac.nz
47,http://www.nzdl.org
48,http://www.cse.buffalo.edu
49,http://www.cs.sfu.ca
