,Link
0,http://www.speedtest.net
1,http://www.cisco.com
2,http://www.lenovo.com
3,http://www.tp-link.com
4,http://www.netgear.com
5,http://www.ubnt.com
6,http://www.techtarget.com
7,http://www.arubanetworks.com
8,http://www.juniper.net
9,http://www.fcc.gov
10,http://www.dlink.com
11,http://www.dslreports.com
12,http://www.kingston.com
13,http://www.fon.com
14,http://www.h3c.com
15,http://www.testmy.net
16,http://www.itu.int
17,http://www.netgate.com
18,http://www.meter.net
19,http://www.grasshopper.com
20,http://www.gfi.com
21,http://www.speedof.me
22,http://www.ruckuswireless.com
23,http://www.zyxel.com
24,http://www.alcatel-lucent.com
25,http://www.mitel.com
26,http://www.ciscopress.com
27,http://www.bluetooth.com
28,http://www.aerohive.com
29,http://www.extremenetworks.com
30,http://www.digi.com
31,http://www.esker.com
32,http://www.bandwidthplace.com
33,http://www.ieee.org
34,http://www.aussiebroadband.com.au
35,http://www.tads.com
36,http://www.ciena.com
37,http://www.trendnet.com
38,http://www.wi-fi.org
39,http://www.megapath.com
40,http://www.callfire.com
41,http://www.dialmycalls.com
42,http://www.blackbox.com
43,http://www.neustar.biz
44,http://www.adtran.com
45,http://www.flukenetworks.com
46,http://www.actiontec.com
47,http://www.brocade.com
48,http://www.ieee802.org
49,http://www.shoretelsky.com
