,Link
0,http://www.adobe.com
1,http://www.last.fm
2,http://www.wired.com
3,http://www.opensubtitles.org
4,http://www.videolan.org
5,http://www.newgrounds.com
6,http://www.dvdvideosoft.com
7,http://www.movavi.com
8,http://www.cyberlink.com
9,http://www.native-instruments.com
10,http://www.nch.com.au
11,http://www.ableton.com
12,http://www.videohelp.com
13,http://www.animoto.com
14,http://www.kvraudio.com
15,http://www.steinberg.net
16,http://www.media.io
17,http://www.ffmpeg.org
18,http://www.processing.org
19,http://www.soundonsound.com
20,http://www.real.com
21,http://www.waves.com
22,http://www.izotope.com
23,http://www.kaltura.com
24,http://www.vst4free.com
25,http://www.free-codecs.com
26,http://www.foobar2000.org
27,http://www.afterdawn.com
28,http://www.reaper.fm
29,http://www.mpc-hc.org
30,http://www.divx.com
31,http://www.harmonycentral.com
32,http://www.winamp.com
33,http://www.mkvtoolnix.download
34,http://www.cakewalk.com
35,http://www.flippingbook.com
36,http://www.itpro.co.uk
37,http://www.propellerheads.se
38,http://www.tv.adobe.com
39,http://www.doom9.org
40,http://www.arturia.com
41,http://www.m-audio.com
42,http://www.shoutcast.com
43,http://www.celemony.com
44,http://www.fxsound.com
45,http://www.spectrasonics.net
46,http://www.cycling74.com
47,http://www.hydrogenaud.io
48,http://www.logicprohelp.com
49,http://www.vuze.com
