,Link
0,http://www.binsearch.info
1,http://www.easynews.com
2,http://www.nzbindex.nl
3,http://www.giganews.com
4,http://www.usenetserver.com
5,http://www.faqs.org
6,http://www.newshosting.com
7,http://www.gmane.org
8,http://www.repairfaq.org
9,http://www.talkorigins.org
10,http://www.usenext.de
11,http://www.eweka.nl
12,http://www.newsdemon.com
13,http://www.rame.net
14,http://www.derkeiler.com
15,http://www.supernews.com
16,http://www.nzbfriends.com
17,http://www.newsguy.com
18,http://www.sickbeard.com
19,http://www.markmail.org
20,http://www.newsgroupdirect.com
21,http://www.bio.net
22,http://www.netfunny.com
23,http://www.xsnews.nl
24,http://www.astraweb.com
25,http://www.newsgroupreviews.com
26,http://www.iecc.com
27,http://www.yarchive.net
28,http://www.usenet.net
29,http://www.techsono.com
30,http://www.blocknews.net
31,http://www.recmusicbeatles.com
32,http://www.nzbclub.com
33,http://www.maxbaud.net
34,http://www.binaries4all.com
35,http://www.usenet.se
36,http://www.newzfinders.com
37,http://www.newznab.com
38,http://www.bintube.com
39,http://www.news.individual.net
40,http://www.faqs.cs.uu.nl
41,http://www.newsreaders.info
42,http://www.ngroups.net
43,http://www.gonzb.com
44,http://www.newsgroup-binaries.com
45,http://www.yenc.org
46,http://www.aioe.org
47,http://www.xlned.com
48,http://www.albasani.net
49,http://www.adras.com
