Title,Link,Description,Image,Keyword,Ranking
2017 California wildfires,https://en.wikipedia.org/wiki/2017_California_wildfires,"2017 was the second most destructive wildfire season on record in California in terms of property damage after the 2018 California wildfire, with a total of 9,133 fires burning 1,381,405 acres (5,590.35 km2) of land, according to the California Department of Forestry and Fire Protection, including five of the 20 most destructive wildland-urban interface fires in the state's history. Throughout 2017, the fires destroyed or damaged more than 10,000 structures in the state (destroyed 9,470, damaged 810), a higher tally than the previous nine years combined.",https://upload.wikimedia.org/wikipedia/commons/e/e4/2017_California_wildfires_all.png,2017 California wildfires,100.0
October 2017 Northern California wildfires,https://en.wikipedia.org/wiki/October_2017_Northern_California_wildfires,"The October 2017 Northern California wildfires, also known as the  Northern California firestorm, were a series of 250 wildfires that started burning across the state of California, United States, beginning in early October. Twenty-one became major fires that burned at least 245,000 acres (99,148 ha).",https://upload.wikimedia.org/wikipedia/commons/9/93/2017_Northern_California_wildfires_last_7_days.png,October 2017 Northern California wildfires,100.0
December 2017 Southern California wildfires,https://en.wikipedia.org/wiki/December_2017_Southern_California_wildfires,"A series of 29 wildfires ignited across Southern California in December 2017. Six of the fires became significant wildfires, and led to widespread evacuations and property losses.",https://upload.wikimedia.org/wikipedia/commons/9/9f/Satellite_image_of_Thomas_Fire.jpg,December 2017 Southern California wildfires,100.0
"Wildfires tear through Northern, Southern California",http://www.cbsnews.com/pictures/wildfires-tear-through-northern-southern-california/,"65 Photos Wildfires tear through Northern, Southern California",https://cbsnews2.cbsistatic.com/hub/i/r/2018/11/16/cbdfb08f-f62e-4e33-9eec-6dd7435146a3/thumbnail/380x240/5703e2939f0c92e1b1822238a02059d3/ap-18319667960105.jpg#,"wildfire,wildfires,california",4.0
,http://www.foxbusiness.com/features/packers-star-aaron-rodgers-donates-1m-to-california-wildfires-recovery,Packers star Aaron Rodgers donates $1M to California wildfires recovery,,"wildfire,wildfires,california",4.0
,https://abcnews.go.com/US/victims-affected-california-wildfires/story?id=59290306,How to help victims affected by the California wildfires,,"wildfire,wildfires,california",4.0
,http://www.abcnews.go.com/US/photos/massive-wildfires-engulf-california-59138729,Slideshow: Recovery efforts continue after wildfires destroyed parts of California,,"wildfire,wildfires,california",4.0
,https://abcnews.go.com/US/californias-camp-fire-now-completely-contained-officials/story?id=59397260,Relentless firefighters prevail: California wildfires now almost completely contained,,"wildfire,wildfires,california",4.0
,http://www.abcnews.go.com/US/victims-affected-california-wildfires/story?id=59290306,How to help victims affected by the California wildfires,,"wildfire,wildfires,california",4.0
,http://www.crweworld.com/article/world/880708/california-wildfires-finland-bemused-by-trump-raking-comment,California wildfires: Finland bemused by Trump raking commentworld2018-11-18,http://crweworld.com/assets/img/2123456789abcX$+$$&+$+&$YZ.jpg,"wildfire,wildfires,california",4.0
President Trump Delivers Statement on Malibu Wildfires,http://www.crweworld.com/watch/2058/president-trump-delivers-statement-on-malibu-wildfires,President Trump Delivers Statement on Malibu Wildfires,https://img.youtube.com/vi/7JFzaBSUOwc/mqdefault.jpg,"wildfire,wildfires",3.0
California wildfire reaches 95% containment,http://www.bignewsnetwork.com/news/258378957/california-wildfire-reaches-95-containment,California wildfire reaches 95% containment,,"wildfire,california",2.0
,https://abcnews.go.com/Politics/marijuana-business-owner-loses-home-california-wildfire-days/story?id=59350296,Marijuana business owner loses home in California wildfire days after historic vote,,"wildfire,california",2.0
