,Link
0,http://www.twitch.tv
1,http://www.roblox.com
2,http://www.steampowered.com
3,http://www.gamespot.com
4,http://www.battle.net
5,http://www.wowhead.com
6,http://www.ign.com
7,http://www.playstation.com
8,http://www.epicgames.com
9,http://www.leagueoflegends.com
10,http://www.nexusmods.com
11,http://www.ea.com
12,http://www.chess.com
13,http://www.nvidia.com
14,http://www.blizzard.com
15,http://www.icy-veins.com
16,http://www.pcgamer.com
17,http://www.xbox.com
18,http://www.nintendo.com
19,http://www.easports.com
20,http://www.unity3d.com
21,http://www.ubisoft.com
22,http://www.eurogamer.net
23,http://www.rockstargames.com
24,http://www.minecraft.net
25,http://www.bulbagarden.net
26,http://www.kongregate.com
27,http://www.wowprogress.com
28,http://www.wikia.com
29,http://www.miniclip.com
30,http://www.mmo-champion.com
31,http://www.wizards.com
32,http://www.boardgamegeek.com
33,http://www.pch.com
34,http://www.itch.io
35,http://www.thesimsresource.com
36,http://www.gamepedia.com
37,http://www.sporcle.com
38,http://www.bungie.net
39,http://www.callofduty.com
40,http://www.fallout.wikia.com
41,http://www.runescape.com
42,http://www.gamesradar.com
43,http://www.elderscrolls.wikia.com
44,http://www.rockpapershotgun.com
45,http://www.vocabulary.com
46,http://www.planetminecraft.com
47,http://www.square-enix.com
48,http://www.giantbomb.com
49,http://www.finalfantasyxiv.com
