,Link
0,http://www.twitch.tv
1,http://www.roblox.com
2,http://www.steampowered.com
3,http://www.gamespot.com
4,http://www.battle.net
5,http://www.wowhead.com
6,http://www.ign.com
7,http://www.playstation.com
8,http://www.epicgames.com
9,http://www.leagueoflegends.com
10,http://www.nexusmods.com
11,http://www.ea.com
12,http://www.nvidia.com
13,http://www.blizzard.com
14,http://www.icy-veins.com
15,http://www.pcgamer.com
16,http://www.xbox.com
17,http://www.nintendo.com
18,http://www.easports.com
19,http://www.unity3d.com
20,http://www.ubisoft.com
21,http://www.eurogamer.net
22,http://www.rockstargames.com
23,http://www.minecraft.net
24,http://www.bulbagarden.net
25,http://www.kongregate.com
26,http://www.wowprogress.com
27,http://www.wikia.com
28,http://www.miniclip.com
29,http://www.mmo-champion.com
30,http://www.boardgamegeek.com
31,http://www.itch.io
32,http://www.thesimsresource.com
33,http://www.gamepedia.com
34,http://www.sporcle.com
35,http://www.bungie.net
36,http://www.callofduty.com
37,http://www.fallout.wikia.com
38,http://www.runescape.com
39,http://www.gamesradar.com
40,http://www.elderscrolls.wikia.com
41,http://www.rockpapershotgun.com
42,http://www.vocabulary.com
43,http://www.planetminecraft.com
44,http://www.square-enix.com
45,http://www.giantbomb.com
46,http://www.finalfantasyxiv.com
47,http://www.minecraftforum.net
48,http://www.worldoftanks.com
49,http://www.hattrick.org
