,Link
0,http://www.cdc.gov
1,http://www.nih.gov
2,http://www.cancer.org
3,http://www.heart.org
4,http://www.cancer.gov
5,http://www.spine-health.com
6,http://www.alz.org
7,http://www.arthritis.org
8,http://www.baldtruthtalk.com
9,http://www.diabetes.org
10,http://www.cancer.net
11,http://www.nih.gov
12,http://www.mdanderson.org
13,http://www.acc.org
14,http://www.nih.gov
15,http://www.hairlosstalk.com
16,http://www.kidney.org
17,http://www.aacrjournals.org
18,http://www.stjude.org
19,http://www.breastcancer.org
20,http://www.nih.gov
21,http://www.endocrineweb.com
22,http://www.diabetes.co.uk
23,http://www.sleepfoundation.org
24,http://www.cancercenter.com
25,http://www.dexcom.com
26,http://www.davita.com
27,http://www.nih.gov
28,http://www.epilepsy.com
29,http://www.bhf.org.uk
30,http://www.rarediseases.org
31,http://www.unaids.org
32,http://www.nationalmssociety.org
33,http://www.cancer.ca
34,http://www.dermnetnz.org
35,http://www.heartfoundation.org.au
36,http://www.macmillan.org.uk
37,http://www.clincancerres.aacrjournals.org
38,http://www.lung.org
39,http://www.avert.org
40,http://www.chemocare.com
41,http://www.nccn.org
42,http://www.iarc.fr
43,http://www.acaai.org
44,http://www.aidsinfo.nih.gov
45,http://www.diabetesdaily.com
46,http://www.lls.org
47,http://www.alzheimers.org.uk
48,http://www.dana-farber.org
49,http://www.aaaai.org
