,Link
0,http://www.psychologytoday.com
1,http://www.apa.org
2,http://www.verywellmind.com
3,http://www.nih.gov
4,http://www.additudemag.com
5,http://www.nih.gov
6,http://www.goodtherapy.org
7,http://www.samhsa.gov
8,http://www.mentalhelp.net
9,http://www.healthyplace.com
10,http://www.beyondblue.org.au
11,http://www.mind.org.uk
12,http://www.score.org
13,http://www.psychiatry.org
14,http://www.adaa.org
15,http://www.nami.org
16,http://www.mentalhealthamerica.net
17,http://www.anxietycentre.com
18,http://www.suicidepreventionlifeline.org
19,http://www.spring.org.uk
20,http://www.socialanxietysupport.com
21,http://www.counseling.org
22,http://www.yorkvilleu.ca
23,http://www.psychguides.com
24,http://www.wrongplanet.net
25,http://www.landmarkworldwide.com
26,http://www.va.gov
27,http://www.afsp.org
28,http://www.nationaleatingdisorders.org
29,http://www.loveisrespect.org
30,http://www.aacap.org
31,http://www.gamcare.org.uk
32,http://www.nasponline.org
33,http://www.addforums.com
34,http://www.stevepavlina.com
35,http://www.bphope.com
36,http://www.minddisorders.com
37,http://www.samaritans.org
38,http://www.bacp.co.uk
39,http://www.ldaamerica.org
40,http://www.nomorepanic.co.uk
41,http://www.sprc.org
42,http://www.lindamoodbell.com
43,http://www.cci.health.wa.gov.au
44,http://www.bridgestorecovery.com
45,http://www.anxietybc.com
46,http://www.iocdf.org
47,http://www.depressionforums.org
48,http://www.sane.org
49,http://www.grief.com
