,Link
0,http://www.google.com
1,http://www.battle.net
2,http://www.reverso.net
3,http://www.weebly.com
4,http://www.thesaurus.com
5,http://www.espncricinfo.com
6,http://www.epicgames.com
7,http://www.leagueoflegends.com
8,http://www.khanacademy.org
9,http://www.ea.com
10,http://www.y8.com
11,http://www.timeanddate.com
12,http://www.xe.com
13,http://www.blizzard.com
14,http://www.xbox.com
15,http://www.nintendo.com
16,http://www.easports.com
17,http://www.britannica.com
18,http://www.android.com
19,http://www.ubisoft.com
20,http://www.howstuffworks.com
21,http://www.codecademy.com
22,http://www.bulbagarden.net
23,http://www.mit.edu
24,http://www.citationmachine.net
25,http://www.uefa.com
26,http://www.css-tricks.com
27,http://www.sitepoint.com
28,http://www.bungie.net
29,http://www.easybib.com
30,http://www.history.com
31,http://www.bom.gov.au
32,http://www.lego.com
33,http://www.mathsisfun.com
34,http://www.fontsquirrel.com
35,http://www.raspberrypi.org
36,http://www.square-enix.com
37,http://www.gocomics.com
38,http://www.sciencedaily.com
39,http://www.space.com
40,http://www.irishtimes.com
41,http://www.rhymezone.com
42,http://www.mathway.com
43,http://www.bethesda.net
44,http://www.bartleby.com
45,http://www.pbskids.org
46,http://www.honda.com
47,http://www.thestudentroom.co.uk
48,http://www.afl.com.au
49,http://www.pinkbike.com
