,Link
0,http://www.kidshealth.org
1,http://www.rainn.org
2,http://www.beyondblue.org.au
3,http://www.talktofrank.com
4,http://www.animated-teeth.com
5,http://www.cff.org
6,http://www.loveisrespect.org
7,http://www.drugabuse.gov
8,http://www.poison.org
9,http://www.youngmenshealthsite.org
10,http://www.eufic.org
11,http://www.girlshealth.gov
12,http://www.thetruth.com
13,http://www.vestibular.org
14,http://www.bullyingnoway.gov.au
15,http://www.stompoutbullying.org
16,http://www.standupgirl.com
17,http://www.orangepippin.com
18,http://www.greatgrubclub.com
19,http://www.sparky.org
20,http://www.dare.org
21,http://www.sugarstacks.com
22,http://www.afb.org
23,http://www.pacerkidsagainstbullying.org
24,http://www.direct.gov.uk
25,http://www.taylorhooton.org
26,http://www.bipolaruk.org
27,http://www.ygyh.org
28,http://www.aussiedeafkids.org.au
29,http://www.abovetheinfluence.com
30,http://www.antibullying.net
31,http://www.sleepforkids.org
32,http://www.scoliosissos.com
33,http://www.yourlifecounts.org
34,http://www.grainchain.com
35,http://www.sadd.org
36,http://www.safeteens.org
37,http://www.lifecharity.org.uk
38,http://www.roycastle.org
39,http://www.sicklecellsociety.org
40,http://www.noys.org
41,http://www.jenniferann.org
42,http://www.gotmilk.com
43,http://www.foodchamps.org
44,http://www.thecoolspot.gov
45,http://www.teenhelp.com
46,http://www.healthyteeth.org
47,http://www.tobaccofree.org
48,http://www.redballoonlearner.org
49,http://www.adullam-ministries.org.uk
