,Link
0,http://www.google.com
1,http://www.reverso.net
2,http://www.thesaurus.com
3,http://www.khanacademy.org
4,http://www.timeanddate.com
5,http://www.xe.com
6,http://www.britannica.com
7,http://www.howstuffworks.com
8,http://www.citationmachine.net
9,http://www.easybib.com
10,http://www.bom.gov.au
11,http://www.mathsisfun.com
12,http://www.sciencedaily.com
13,http://www.space.com
14,http://www.irishtimes.com
15,http://www.rhymezone.com
16,http://www.mathway.com
17,http://www.bartleby.com
18,http://www.honda.com
19,http://www.uscourts.gov
20,http://www.starfall.com
21,http://www.ed.gov
22,http://www.usa.gov
23,http://www.brainpop.com
24,http://www.physicsforums.com
25,http://www.popsci.com
26,http://www.synonym.com
27,http://www.india.gov.in
28,http://www.faa.gov
29,http://www.usgs.gov
30,http://www.newscientist.com
31,http://www.nasa.gov
32,http://www.webopedia.com
33,http://www.physicsclassroom.com
34,http://www.spellingcity.com
35,http://www.colorado.edu
36,http://www.encyclopedia.com
37,http://www.algebra.com
38,http://www.esa.int
39,http://www.agendaweb.org
40,http://www.manythings.org
41,http://www.ego4u.com
42,http://www.poets.org
43,http://www.almanac.com
44,http://www.phrases.org.uk
45,http://www.parliament.uk
46,http://www.mathplayground.com
47,http://www.math.com
48,http://www.coolmath.com
49,http://www.brasil.gov.br
