,Link
0,http://www.thecrimson.com
1,http://www.yaledailynews.com
2,http://www.dailycal.org
3,http://www.berkeley.edu
4,http://www.dukechronicle.com
5,http://www.collegemagazine.com
6,http://www.columbiaspectator.com
7,http://www.thedp.com
8,http://www.cornellsun.com
9,http://www.ucla.edu
10,http://www.dailybruin.com
11,http://www.onwardstate.com
12,http://www.michigandaily.com
13,http://www.psu.edu
14,http://www.dailytexanonline.com
15,http://www.cornell.edu
16,http://www.usc.edu
17,http://www.stanforddaily.com
18,http://www.redandblack.com
19,http://www.vt.edu
20,http://www.dailytarheel.com
21,http://www.thelantern.com
22,http://www.iowastatedaily.com
23,http://www.dailyillini.com
24,http://www.statepress.com
25,http://www.mndaily.com
26,http://www.chicagomaroon.com
27,http://www.studlife.com
28,http://www.wisc.edu
29,http://www.dailytrojan.com
30,http://www.duke.edu
31,http://www.dailyemerald.com
32,http://www.dailyevergreen.com
33,http://www.idsnews.com
34,http://www.oudaily.com
35,http://www.dailyorange.com
36,http://www.thevarsity.ca
37,http://www.westerngazette.ca
38,http://www.cavalierdaily.com
39,http://www.badgerherald.com
40,http://www.dailynorthwestern.com
41,http://www.dailyprincetonian.com
42,http://www.varsity.co.uk
43,http://www.thedailyaztec.com
44,http://www.nyunews.com
45,http://www.universe.byu.edu
46,http://www.news.wsu.edu
47,http://www.queensjournal.ca
48,http://www.alligator.org
49,http://www.thehoya.com
