,Link
0,http://www.theonion.com
1,http://www.thedailymash.co.uk
2,http://www.newsthump.com
3,http://www.therisingwasabi.com
4,http://www.private-eye.co.uk
5,http://www.newsbiscuit.com
6,http://www.chaser.com.au
7,http://www.dailysquib.co.uk
8,http://www.humortimes.com
9,http://www.glossynews.com
10,http://www.thedailyrash.com
11,http://www.nationalreport.net
12,http://www.dandygoat.com
13,http://www.thecomicnews.com
14,http://www.theineptowl.com
15,http://www.fridaymash.com
16,http://www.dapaan.com
17,http://www.derfmagazine.com
18,http://www.dailycurrant.com
19,http://www.firstpost.com
20,http://www.bentspud.com
21,http://www.fmobserver.com
22,http://www.farzinews.com
23,http://www.dailydiscord.com
24,http://www.madblast.com
25,http://www.emtoast.com
26,http://www.wonkie.com
27,http://www.newsbreakers.org
28,http://www.nberra.com
29,http://www.johnnyrobish.com
30,http://www.basslakebeacon.com
31,http://www.bizarreville.com
32,http://www.conservativenews.online
33,http://www.thedailycheese.co.uk
34,http://www.galwaydailynews.com
35,http://www.gsyfutu.com
36,http://www.halfmanhalfmovie.com
37,http://www.ironictimes.com
38,http://www.satirelife.com
39,http://www.sensationalisttimes.com
40,http://www.theskunk.org
41,http://www.surrealscoop.com
42,http://www.thetimesoftheworld.com
