,Link
0,http://www.mta.info
1,http://www.ncdot.gov
2,http://www.viamichelin.com
3,http://www.sunpass.com
4,http://www.bayareafastrak.org
5,http://www.wa.gov
6,http://www.vicroads.vic.gov.au
7,http://www.penndot.gov
8,http://www.ntta.org
9,http://www.thetollroads.com
10,http://www.ca.gov
11,http://www.illinoistollway.com
12,http://www.407etr.com
13,http://www.paturnpike.com
14,http://www.panynj.gov
15,http://www.ezpassmd.com
16,http://www.azdot.gov
17,http://www.sigalert.com
18,http://www.txdot.gov
19,http://www.gov.on.ca
20,http://www.expresstoll.com
21,http://www.state.mn.us
22,http://www.iowadot.gov
23,http://www.nhai.org
24,http://www.cfxway.com
25,http://www.codot.gov
26,http://www.ny.gov
27,http://www.transport.sa.gov.au
28,http://www.htallc.com
29,http://www.alberta.ca
30,http://www.virginiadot.org
31,http://www.state.oh.us
32,http://www.ca.gov
33,http://www.ny.gov
34,http://www.illinois.gov
35,http://www.nsw.gov.au
36,http://www.modot.org
37,http://www.pikepass.com
38,http://www.infrastructure.gov.au
39,http://www.worldwind.arc.nasa.gov
40,http://www.roam.com.au
41,http://www.transport.tas.gov.au
42,http://www.dot.ga.gov
43,http://www.autopistas.com
44,http://www.autoroutes.fr
45,http://www.transportation.ky.gov
46,http://www.mdt.mt.gov
47,http://www.aaroads.com
48,http://www.ohgo.com
49,http://www.itd.idaho.gov
