,Link
0,http://www.britannica.com
1,http://www.howstuffworks.com
2,http://www.wikipedia.org
3,http://www.wolfram.com
4,http://www.webopedia.com
5,http://www.encyclopedia.com
6,http://www.infoplease.com
7,http://www.murderpedia.org
8,http://www.encyclopediaofmath.org
9,http://www.els.net
10,http://www.jewishencyclopedia.com
11,http://www.biocyclopedia.com
12,http://www.encyclopediavirginia.org
13,http://www.ohiohistorycentral.org
14,http://www.symbols.com
15,http://www.wikia.com
16,http://www.pantheon.org
17,http://www.worldbook.com
18,http://www.historyofwar.org
19,http://www.encyclopediaofukraine.com
20,http://www.ceopedia.org
21,http://www.cyclepedia.com
22,http://www.dhammawiki.com
23,http://www.gameo.org
24,http://www.encyclopedia-of-religion.org
25,http://www.tanknutdave.com
26,http://www.countrylicious.com
27,http://www.jrank.org
28,http://www.kgbudge.com
29,http://www.mashpedia.com
30,http://www.britishexecutions.co.uk
31,http://www.peakware.com
32,http://www.computerlanguage.com
33,http://www.paranormal-encyclopedia.com
34,http://www.1902encyclopedia.com
35,http://www.canadiantheatre.com
36,http://www.infosnacks.com
37,http://www.worldchristiandatabase.org
38,http://www.plantlives.com
39,http://www.gunwiki.net
40,http://www.threes.com
41,http://www.nightbringer.se
42,http://www.realestatewiki.com
43,http://www.russian-tanks.com
44,http://www.ech.case.edu
45,http://www.encyclopedia123.com
46,http://www.encyclopk.com
47,http://www.virtualsources.com
48,http://www.wikifigures.com
