,Link
0,http://www.nih.gov
1,http://www.blackboard.com
2,http://www.archive.org
3,http://www.goodreads.com
4,http://www.exlibrisgroup.com
5,http://www.citationmachine.net
6,http://www.ox.ac.uk
7,http://www.plos.org
8,http://www.ed.ac.uk
9,http://www.ucl.ac.uk
10,http://www.oclc.org
11,http://www.loc.gov
12,http://www.nottingham.ac.uk
13,http://www.caltech.edu
14,http://www.kcl.ac.uk
15,http://www.gla.ac.uk
16,http://www.nla.gov.au
17,http://www.wipo.int
18,http://www.uts.edu.au
19,http://www.vcu.edu
20,http://www.bnf.fr
21,http://www.leeds.ac.uk
22,http://www.pdx.edu
23,http://www.tcd.ie
24,http://www.listal.com
25,http://www.wmich.edu
26,http://www.metmuseum.org
27,http://www.umn.edu
28,http://www.archives.gov
29,http://www.bl.uk
30,http://www.zotero.org
31,http://www.smu.edu
32,http://www.rsl.ru
33,http://www.copyright.com
34,http://www.bham.ac.uk
35,http://www.binghamton.edu
36,http://www.moma.org
37,http://www.nypl.org
38,http://www.library.utoronto.ca
39,http://www.talis.com
40,http://www.ncl.edu.tw
41,http://www.dur.ac.uk
42,http://www.swarthmore.edu
43,http://www.missouristate.edu
44,http://www.anl.az
45,http://www.wright.edu
46,http://www.library.ubc.ca
47,http://www.dtic.mil
48,http://www.endnote.com
49,http://www.perseus.tufts.edu
