,Link
0,http://www.google.com
1,http://www.yahoo.com
2,http://www.google.co.in
3,http://www.amazon.com
4,http://www.google.co.uk
5,http://www.microsoft.com
6,http://www.apple.com
7,http://www.amazon.co.jp
8,http://www.google.com.au
9,http://www.adobe.com
10,http://www.amazon.co.uk
11,http://www.bbc.co.uk
12,http://www.nytimes.com
13,http://www.nih.gov
14,http://www.chase.com
15,http://www.theguardian.com
16,http://www.alibaba.com
17,http://www.ebay.co.uk
18,http://www.nih.gov
19,http://www.flipkart.com
20,http://www.walmart.com
21,http://www.weather.com
22,http://www.indiatimes.com
23,http://www.dailymail.co.uk
24,http://www.bankofamerica.com
25,http://www.wellsfargo.com
26,http://www.zillow.com
27,http://www.bet365.com
28,http://www.ikea.com
29,http://www.tripadvisor.com
30,http://www.xfinity.com
31,http://www.bestbuy.com
32,http://www.amazon.ca
33,http://www.rt.com
34,http://www.aol.com
35,http://www.asos.com
36,http://www.usps.com
37,http://www.hp.com
38,http://www.google.ie
39,http://www.americanexpress.com
40,http://www.samsung.com
41,http://www.accuweather.com
42,http://www.irctc.co.in
43,http://www.ups.com
44,http://www.ndtv.com
45,http://www.cambridge.org
46,http://www.oracle.com
47,http://www.homedepot.com
48,http://www.espncricinfo.com
49,http://www.fedex.com
