,Link
0,http://www.europa.eu
1,http://www.bayt.com
2,http://www.emirates.com
3,http://www.qatarairways.com
4,http://www.irib.ir
5,http://www.irna.ir
6,http://www.alarabiya.net
7,http://www.ksu.edu.sa
8,http://www.ut.ac.ir
9,http://www.qatarliving.com
10,http://www.turkishairlines.com
11,http://www.aljazeera.com
12,http://www.khaleejtimes.com
13,http://www.saudiairlines.com
14,http://www.gulfnews.com
15,http://www.flypgs.com
16,http://www.airarabia.com
17,http://www.turktelekom.com.tr
18,http://www.kau.edu.sa
19,http://www.saglik.gov.tr
20,http://www.babylon.com
21,http://www.mgm.gov.tr
22,http://www.etihad.com
23,http://www.nic.ir
24,http://www.cbi.ir
25,http://www.istanbul.edu.tr
26,http://www.haaretz.com
27,http://www.aramex.com
28,http://www.diyanet.gov.tr
29,http://www.flynas.com
30,http://www.gooya.com
31,http://www.aawsat.com
32,http://www.gulf-times.com
33,http://www.arabnews.com
34,http://www.uyap.gov.tr
35,http://www.irantalent.com
36,http://www.jpost.com
37,http://www.indiansinkuwait.com
38,http://www.etisalat.ae
39,http://www.mofa.gov.sa
40,http://www.thenational.ae
41,http://www.talabat.com
42,http://www.albawaba.com
43,http://www.ameinfo.com
44,http://www.ankara.edu.tr
45,http://www.kfupm.edu.sa
46,http://www.metu.edu.tr
47,http://www.tcmb.gov.tr
48,http://www.mubasher.info
49,http://www.itu.edu.tr
