,Link
0,http://www.nsidc.org
1,http://www.nipr.ac.jp
2,http://www.awi.de
3,http://www.ccamlr.org
4,http://www.sintef.no
5,http://www.coolantarctica.com
6,http://www.ulapland.fi
7,http://www.quarkexpeditions.com
8,http://www.antarctica.gov.au
9,http://www.polarcruises.com
10,http://www.npolar.no
11,http://www.bas.ac.uk
12,http://www.ats.aq
13,http://www.uarctic.org
14,http://www.antarcticaxxi.com
15,http://www.arctic-council.org
16,http://www.scar.org
17,http://www.noaa.gov
18,http://www.arcus.org
19,http://www.expeditiontrips.com
20,http://www.noaa.gov
21,http://www.ec.gc.ca
22,http://www.escortedantarcticatours.com
23,http://www.uaf.edu
24,http://www.antarcticaflights.com.au
25,http://www.discoveringantarctica.org.uk
26,http://www.southpolestation.com
27,http://www.pelagic.co.uk
28,http://www.polar-quest.com
29,http://www.amap.no
30,http://www.osu.edu
31,http://www.uoguelph.ca
32,http://www.antarcticanz.govt.nz
33,http://www.victory-cruises.com
34,http://www.cam.ac.uk
35,http://www.iaato.org
36,http://www.asoc.org
37,http://www.heritage-expeditions.com
38,http://www.comnap.aq
39,http://www.antarctic-circle.org
40,http://www.arctic.ucalgary.ca
41,http://www.arcticcircle.uconn.edu
42,http://www.iceberg.co.nz
43,http://www.amrc.ssec.wisc.edu
44,http://www.psc.apl.washington.edu
45,http://www.pwnhc.ca
46,http://www.nwtresearch.com
47,http://www.antarcticsun.usap.gov
48,http://www.south-pole.com
49,http://www.thearctic.is
