,Link
0,http://www.google.com
1,http://www.nih.gov
2,http://www.researchgate.net
3,http://www.sciencedirect.com
4,http://www.reverso.net
5,http://www.coinmarketcap.com
6,http://www.elsevier.com
7,http://www.urbandictionary.com
8,http://www.autodesk.com
9,http://www.noaa.gov
10,http://www.ieee.org
11,http://www.nature.com
12,http://www.timeanddate.com
13,http://www.duolingo.com
14,http://www.mathworks.com
15,http://www.arxiv.org
16,http://www.jma.go.jp
17,http://www.jstor.org
18,http://www.ted.com
19,http://www.mayoclinic.org
20,http://www.weather.gov
21,http://www.noaa.gov
22,http://www.berkeley.edu
23,http://www.acs.org
24,http://www.iitm.ac.in
25,http://www.symbolab.com
26,http://www.howstuffworks.com
27,http://www.nationalgeographic.com
28,http://www.sciencemag.org
29,http://www.colorado.edu
30,http://www.economist.com
31,http://www.rsc.org
32,http://www.desmos.com
33,http://www.livescience.com
34,http://www.fao.org
35,http://www.wolfram.com
36,http://www.bom.gov.au
37,http://www.usgs.gov
38,http://www.sigmaaldrich.com
39,http://www.intellicast.com
40,http://www.biomedcentral.com
41,http://www.mdpi.com
42,http://www.plos.org
43,http://www.bitcointalk.org
44,http://www.usda.gov
45,http://www.iop.org
46,http://www.hindawi.com
47,http://www.23andme.com
48,http://www.sciencedaily.com
49,http://www.space.com
