,Link
0,http://www.jma.go.jp
1,http://www.weather.gov
2,http://www.noaa.gov
3,http://www.bom.gov.au
4,http://www.usgs.gov
5,http://www.intellicast.com
6,http://www.metoffice.gov.uk
7,http://www.usgs.gov
8,http://www.geology.com
9,http://www.metservice.com
10,http://www.smhi.se
11,http://www.zamg.ac.at
12,http://www.ucar.edu
13,http://www.imd.gov.in
14,http://www.lightningmaps.org
15,http://www.meteo.be
16,http://www.noaa.gov
17,http://www.dost.gov.ph
18,http://www.ametsoc.org
19,http://www.kma.go.kr
20,http://www.gov.si
21,http://www.noaa.gov
22,http://www.nasa.gov
23,http://www.met.ie
24,http://www.amnh.org
25,http://www.nwcg.gov
26,http://www.emsc-csem.org
27,http://www.ncees.org
28,http://www.hcmr.gr
29,http://www.iris.edu
30,http://www.mindat.org
31,http://www.agu.org
32,http://www.wmo.int
33,http://www.cma.gov.cn
34,http://www.ut.ac.ir
35,http://www.smg.gov.mo
36,http://www.oceaneering.com
37,http://www.imo.org
38,http://www.typhoon2000.ph
39,http://www.cpc.ncep.noaa.gov
40,http://www.leica-geosystems.com
41,http://www.spe.org
42,http://www.ordnancesurvey.co.uk
43,http://www.allmetsat.com
44,http://www.blm.gov
45,http://www.irb.hr
46,http://www.nsidc.org
47,http://www.ngdc.noaa.gov
48,http://www.ucmp.berkeley.edu
49,http://www.goes.noaa.gov
