,Link
0,http://www.fsu.edu
1,http://www.rit.edu
2,http://www.microscopy-uk.org.uk
3,http://www.jhu.edu
4,http://www.imaging.org
5,http://www.microscope-microscope.org
6,http://www.usc.edu
7,http://www.cognitech.com
8,http://www.openmicroscopy.org
9,http://www.microbehunter.com
10,http://www.uu.nl
11,http://www.arhungary.hu
12,http://www.stainsfile.info
13,http://www.microscopy-analysis.com
14,http://www.microscopy.org
15,http://www.digirad.com
16,http://www.rodenburg.org
17,http://www.felmi-zfe.at
18,http://www.microscopy-news.com
19,http://www.northwestern.edu
20,http://www.thermalvision.ie
21,http://www.er-c.org
22,http://www.nestor-tech.com
23,http://www.chemimage.com
24,http://www.pirx.com
25,http://www.basirtech.com
26,http://www.imsol.co.uk
27,http://www.imageprocessingbasics.com
28,http://www.licenseplaterecognition.com
29,http://www.k-space.com
30,http://www.tamu.edu
31,http://www.smsi.org
32,http://www.visiopharm.com
33,http://www.dnr-is.com
34,http://www.roperscientific.com
35,http://www.invisiblevision.com
36,http://www.dti3d.com
37,http://www.ixico.com
38,http://www.lucispro.com
39,http://www.atl.semtechsolutions.com
40,http://www.lemnatec.com
41,http://www.nanoworld.org
42,http://www.scientificmethod.com
43,http://www.probelab.geo.umn.edu
44,http://www.vuiis.vanderbilt.edu
45,http://www.roentgen.physik.uni-goettingen.de
46,http://www.bugscope.beckman.uiuc.edu
47,http://www.csem.isibrno.cz
48,http://www.alb42.de
49,http://www.altair-vision.com
