,Link
0,http://www.google.com
1,http://www.reverso.net
2,http://www.coinmarketcap.com
3,http://www.elsevier.com
4,http://www.urbandictionary.com
5,http://www.noaa.gov
6,http://www.duolingo.com
7,http://www.jstor.org
8,http://www.berkeley.edu
9,http://www.nationalgeographic.com
10,http://www.colorado.edu
11,http://www.economist.com
12,http://www.bitcointalk.org
13,http://www.apa.org
14,http://www.poloniex.com
15,http://www.localbitcoins.com
16,http://www.wikipedia.org
17,http://www.census.gov
18,http://www.cointelegraph.com
19,http://www.esri.com
20,http://www.bls.gov
21,http://www.italki.com
22,http://www.hse.ru
23,http://www.bitcoin.com
24,http://www.ucr.edu
25,http://www.ssrn.com
26,http://www.behindthename.com
27,http://www.nap.edu
28,http://www.kraken.com
29,http://www.bitcoin.org
30,http://www.blueletterbible.org
31,http://www.gramota.ru
32,http://www.bps.go.id
33,http://www.umbc.edu
34,http://www.bitstamp.net
35,http://www.ilo.org
36,http://www.foreignpolicy.com
37,http://www.repec.org
38,http://www.arabic-keyboard.org
39,http://www.simplypsychology.org
40,http://www.nationalinterest.org
41,http://www.sona-systems.com
42,http://www.japanesepod101.com
43,http://www.stata.com
44,http://www.omniglot.com
45,http://www.bitcoinwisdom.com
46,http://www.ideas.repec.org
47,http://www.media.mit.edu
48,http://www.statcan.gc.ca
49,http://www.bgsu.edu
