,Link
0,http://www.amazon.com
1,http://www.netflix.com
2,http://www.ebay.com
3,http://www.amazon.co.uk
4,http://www.etsy.com
5,http://www.walmart.com
6,http://www.steampowered.com
7,http://www.ikea.com
8,http://www.bestbuy.com
9,http://www.cambridge.org
10,http://www.homedepot.com
11,http://www.target.com
12,http://www.wiley.com
13,http://www.nike.com
14,http://www.hm.com
15,http://www.humblebundle.com
16,http://www.ticketmaster.com
17,http://www.newegg.com
18,http://www.groupon.com
19,http://www.macys.com
20,http://www.nordstrom.com
21,http://www.wayfair.com
22,http://www.costco.com
23,http://www.lowes.com
24,http://www.bhphotovideo.com
25,http://www.iherb.com
26,http://www.oup.com
27,http://www.kohls.com
28,http://www.rakuten.com
29,http://www.directv.com
30,http://www.redbubble.com
31,http://www.bodybuilding.com
32,http://www.gap.com
33,http://www.cargurus.com
34,http://www.sky.com
35,http://www.zappos.com
36,http://www.yoox.com
37,http://www.sephora.com
38,http://www.autotrader.com
39,http://www.gamestop.com
40,http://www.urbanoutfitters.com
41,http://www.ifixit.com
42,http://www.walgreens.com
43,http://www.overstock.com
44,http://www.staples.com
45,http://www.bedbathandbeyond.com
46,http://www.forever21.com
47,http://www.barnesandnoble.com
48,http://www.sears.com
49,http://www.shutterfly.com
