,Link
0,http://www.hm.com
1,http://www.gap.com
2,http://www.zappos.com
3,http://www.yoox.com
4,http://www.forever21.com
5,http://www.jcrew.com
6,http://www.6pm.com
7,http://www.net-a-porter.com
8,http://www.mango.com
9,http://www.victoriassecret.com
10,http://www.ae.com
11,http://www.dsw.com
12,http://www.vans.com
13,http://www.customink.com
14,http://www.dollskill.com
15,http://www.revolve.com
16,http://www.finishline.com
17,http://www.abercrombie.com
18,http://www.ralphlauren.com
19,http://www.llbean.com
20,http://www.hottopic.com
21,http://www.lulus.com
22,http://www.pacsun.com
23,http://www.therealreal.com
24,http://www.freepeople.com
25,http://www.coach.com
26,http://www.sierratradingpost.com
27,http://www.shoes.com
28,http://www.alight.com
29,http://www.ysl.com
30,http://www.modcloth.com
31,http://www.hermes.com
32,http://www.landsend.com
33,http://www.tedbaker.com
34,http://www.lordandtaylor.com
35,http://www.eddiebauer.com
36,http://www.tillys.com
37,http://www.torrid.com
38,http://www.threadless.com
39,http://www.davidsbridal.com
40,http://www.converse.com
41,http://www.oldnavy.com
42,http://www.anntaylor.com
43,http://www.lids.com
44,http://www.toryburch.com
45,http://www.forzieri.com
46,http://www.brooksbrothers.com
47,http://www.famousfootwear.com
48,http://www.nelly.com
49,http://www.yandy.com
