,Link
0,http://www.change.org
1,http://www.avaaz.org
2,http://www.freerepublic.com
3,http://www.thepetitionsite.com
4,http://www.democracynow.org
5,http://www.bugmenot.com
6,http://www.newsbusters.org
7,http://www.credoaction.com
8,http://www.opendemocracy.net
9,http://www.dosomething.org
10,http://www.globalvoices.org
11,http://www.storify.com
12,http://www.peopleofwalmart.com
13,http://www.ipetitions.com
14,http://www.takepart.com
15,http://www.gopetition.com
16,http://www.apc.org
17,http://www.civicus.org
18,http://www.freespeech.org
19,http://www.kpfa.org
20,http://www.obeygiant.com
21,http://www.ethicalconsumer.org
22,http://www.michaelbluejay.com
23,http://www.changemakers.com
24,http://www.wbai.org
25,http://www.speakupwny.com
26,http://www.freepress.net
27,http://www.ethicalcorp.com
28,http://www.adbusters.org
29,http://www.kpfk.org
30,http://www.cnvc.org
31,http://www.occupywallst.org
32,http://www.mediaed.org
33,http://www.ushahidi.com
34,http://www.theworldcafe.com
35,http://www.wearethe99percent.tumblr.com
36,http://www.palwatch.org
37,http://www.occupy.com
38,http://www.leonardo.info
39,http://www.nonviolent-conflict.org
40,http://www.radio4all.net
41,http://www.sustainability.com
42,http://www.shelterforce.org
43,http://www.activism.com
44,http://www.rinf.com
45,http://www.theyesmen.org
46,http://www.communitychange.org
47,http://www.nonviolenceinternational.net
48,http://www.thirdcoastactivist.org
49,http://www.babymilkaction.org
