,Link
0,http://www.wri.org
1,http://www.longecity.org
2,http://www.thevenusproject.com
3,http://www.thenewatlantis.com
4,http://www.greatdreams.com
5,http://www.longnow.org
6,http://www.ieet.org
7,http://www.iftf.org
8,http://www.nickbostrom.com
9,http://www.lifeboat.com
10,http://www.z-punkt.de
11,http://www.longbets.org
12,http://www.hedweb.com
13,http://www.foresight.org
14,http://www.globalchange.com
15,http://www.futureforall.org
16,http://www.clubofrome.org
17,http://www.freedomship.com
18,http://www.generationaldynamics.com
19,http://www.humanityplus.org
20,http://www.newciv.org
21,http://www.thegff.com
22,http://www.davinciinstitute.com
23,http://www.millennium-project.org
24,http://www.forecastingprinciples.com
25,http://www.world-information.org
26,http://www.motherservice.org
27,http://www.stelarc.org
28,http://www.futurist.com
29,http://www.futureconscience.com
30,http://www.shapingtomorrow.com
31,http://www.jimpinto.com
32,http://www.futurecasts.com
33,http://www.metafuture.org
34,http://www.wfsf.org
35,http://www.senescence.info
36,http://www.tofflerassociates.com
37,http://www.karlalbrecht.com
38,http://www.celestopea.org
39,http://www.breadandbutterscience.com
40,http://www.natcap.org
41,http://www.prospektiker.es
42,http://www.ifr.sun.ac.za
43,http://www.davidhoule.com
44,http://www.diagnosis2012.co.uk
45,http://www.grayscott.com
46,http://www.pelicanweb.org
47,http://www.paradise-engineering.com
48,http://www.future.org
49,http://www.ipts.jrc.ec.europa.eu
