,Link
0,http://www.paralympic.org
1,http://www.specialolympics.org
2,http://www.nchpad.org
3,http://www.beijing2008.cn
4,http://www.disabledsportsusa.org
5,http://www.challengedathletes.org
6,http://www.sotx.org
7,http://www.sosc.org
8,http://www.specialolympicswisconsin.org
9,http://www.somi.org
10,http://www.sook.org
11,http://www.specialolympicsarizona.org
12,http://www.cpsport.org
13,http://www.soill.org
14,http://www.deaflympics.com
15,http://www.soiowa.org
16,http://www.soindiana.org
17,http://www.sports.org.au
18,http://www.parasportontario.ca
19,http://www.sportingwheelies.org.au
20,http://www.paralympics.org.nz
21,http://www.paralympic.org.au
22,http://www.sdsc.org.sg
23,http://www.powertobe.ca
24,http://www.edso.eu
25,http://www.nscd.org
26,http://www.disabledwintersport.com.au
27,http://www.sonc.net
28,http://www.usdeafsports.org
29,http://www.paralympics.org.uk
30,http://www.paralympic.ca
31,http://www.metroblindsport.org
32,http://www.specialolympics.com.au
33,http://www.sportabilitybc.ca
34,http://www.achievetahoe.org
35,http://www.borp.org
36,http://www.worldteamsports.org
37,http://www.dsauk.org
38,http://www.usaba.org
39,http://www.inclusivesportsa.com.au
40,http://www.challengeaspen.org
41,http://www.soor.org
42,http://www.adaptivecanoeing.org
43,http://www.sooh.org
44,http://www.soky.org
45,http://www.specialolympicstn.org
46,http://www.ironstonefarm.org
47,http://www.2013worlddwarfgames.org
48,http://www.nbba.org
49,http://www.australiantransplantgames.com
