,Link
0,http://www.wada-ama.org
1,http://www.aausports.org
2,http://www.sportanddev.org
3,http://www.positivecoach.org
4,http://www.cces.ca
5,http://www.righttoplay.com
6,http://www.laureus.com
7,http://www.triplecrownsports.com
8,http://www.sportscotland.org.uk
9,http://www.sportandrecreation.org.uk
10,http://www.isfsports.org
11,http://www.eis2win.co.uk
12,http://www.athletescan.com
13,http://www.usssatoday.com
14,http://www.sportresolutions.co.uk
15,http://www.athletes-int.com
16,http://www.bobbyphillsfoundation.com
17,http://www.csicalgary.ca
18,http://www.coedjewishsports.org
19,http://www.harvestersinsport.org
20,http://www.internationalsport.org
21,http://www.cism-milsport.org
22,http://www.sportaccord.com
23,http://www.swcfoundation.org
24,http://www.tafisa.de
