,Link
0,http://www.fipjp.org
1,http://www.petanque.org
2,http://www.usapetanque.org
3,http://www.christchurchpetanqueclub.org.nz
4,http://www.cornwallpetanque.co.uk
5,http://www.petanque-marin.blogspot.com
6,http://www.losangelespetanque.com
7,http://www.minneapolispetanqueclub.com
8,http://www.oakhurstpetanque.org
9,http://www.parkpetanqueclub.com
10,http://www.petanque-america-open.net
11,http://www.petanquenz.com
12,http://www.petanque.org.nz
13,http://www.scottishpetanque.org
14,http://www.petanque.co.uk
15,http://www.vompc.org
