,Link
0,http://www.skipping4schools.co.uk
1,http://www.cometskippers.org
2,http://www.erso.info
3,http://www.usajumprope.org
4,http://www.jumpropeinstitute.com
5,http://www.bouncingbulldogs.org
6,http://www.superskippers.org
7,http://www.foothillforce.org
8,http://www.hamiltonhoppers.on.ca
9,http://www.theheartbeats.org
10,http://www.hkrsa.com
11,http://www.hotdogusa.org
12,http://www.iowaskippers.org
13,http://www.jumpcompanyusa.com
14,http://www.jumpruk.com
15,http://www.jumpropevideos.com
16,http://www.jumpingbuddy.com
17,http://www.justjumpin.org
18,http://www.kangarookids.org
19,http://www.lincolnleapers.com
20,http://www.nationaldoubledutchleague.com
21,http://www.jumprm.com
22,http://www.worldofropejumping.com
