,Link,Name
,,
,,All
0,https://www.alexa.com/topsites/category/Top/Health/Addictions,Addictions
1,https://www.alexa.com/topsites/category/Top/Health/Aging,Aging
2,https://www.alexa.com/topsites/category/Top/Health/Alternative,Alternative
3,https://www.alexa.com/topsites/category/Top/Health/Animal,Animal
4,https://www.alexa.com/topsites/category/Top/Health/Beauty,Beauty
5,https://www.alexa.com/topsites/category/Top/Health/Child_Health,Child Health
6,https://www.alexa.com/topsites/category/Top/Health/Conditions_and_Diseases,Conditions and Diseases
7,https://www.alexa.com/topsites/category/Top/Health/Conferences,Conferences
8,https://www.alexa.com/topsites/category/Top/Health/Dentistry,Dentistry
9,https://www.alexa.com/topsites/category/Top/Health/Directories,Directories
10,https://www.alexa.com/topsites/category/Top/Health/Education,Education
11,https://www.alexa.com/topsites/category/Top/Health/Fitness,Fitness
12,https://www.alexa.com/topsites/category/Top/Health/Home_Health,Home Health
13,https://www.alexa.com/topsites/category/Top/Health/Medicine,Medicine
14,https://www.alexa.com/topsites/category/Top/Health/Men's_Health,Men's Health
15,https://www.alexa.com/topsites/category/Top/Health/Mental_Health,Mental Health
16,https://www.alexa.com/topsites/category/Top/Health/News_and_Media,News and Media
17,https://www.alexa.com/topsites/category/Top/Health/Nursing,Nursing
18,https://www.alexa.com/topsites/category/Top/Health/Nutrition,Nutrition
19,https://www.alexa.com/topsites/category/Top/Health/Occupational_Health_and_Safety,Occupational Health and Safety
20,https://www.alexa.com/topsites/category/Top/Health/Organizations,Organizations
21,https://www.alexa.com/topsites/category/Top/Health/Pharmacy,Pharmacy
22,https://www.alexa.com/topsites/category/Top/Health/Products_and_Shopping,Products and Shopping
23,https://www.alexa.com/topsites/category/Top/Health/Professions,Professions
24,https://www.alexa.com/topsites/category/Top/Health/Public_Health_and_Safety,Public Health and Safety
25,https://www.alexa.com/topsites/category/Top/Health/Regional,Regional
26,https://www.alexa.com/topsites/category/Top/Health/Reproductive_Health,Reproductive Health
27,https://www.alexa.com/topsites/category/Top/Health/Resources,Resources
28,https://www.alexa.com/topsites/category/Top/Health/Search_Engines,Search Engines
29,https://www.alexa.com/topsites/category/Top/Health/Senior_Health,Senior Health
30,https://www.alexa.com/topsites/category/Top/Health/Senses,Senses
31,https://www.alexa.com/topsites/category/Top/Health/Services,Services
32,https://www.alexa.com/topsites/category/Top/Health/Specific_Substances,Specific Substances
33,https://www.alexa.com/topsites/category/Top/Health/Support_Groups,Support Groups
34,https://www.alexa.com/topsites/category/Top/Health/Teen_Health,Teen Health
35,https://www.alexa.com/topsites/category/Top/Health/Weight_Loss,Weight Loss
36,https://www.alexa.com/topsites/category/Top/Health/Women's_Health,Women's Health
