,Link
0,http://www.gijon.es
1,http://www.wikipedia.org
2,http://www.academiadelallingua.com
3,http://www.suatea.org
4,http://www.asturies.com
5,http://www.ayto-mieres.es
6,http://www.sidradeasturias.es
7,http://www.softastur.org
8,http://www.araz.net
9,http://www.trabe.org
10,http://www.asturnews.com
11,http://www.elregatu.blogspot.com
12,http://www.espeleoastur.as
13,http://www.wiktionary.org
14,http://www.andechacarreno.blogspot.com
15,http://www.esbardu.org
16,http://www.ayto-laviana.es
17,http://www.corvera.org
18,http://www.llariegu.com
19,http://www.bandagaitesvillamieres.com
20,http://www.elchamicu.wordpress.com
21,http://www.felpeyu.com
22,http://www.dexixonalondon.blogspot.com
23,http://www.altuxa.com
24,http://www.ias.as
25,http://www.laesfoyaza.blogspot.com
26,http://www.llandecubel.com
27,http://www.nuberu.com
28,http://www.trayasgaya.blogspot.com
29,http://www.xabeldiz.blogspot.com
30,http://www.exunta.org
