,Link
0,http://www.anandabazar.com
1,http://www.jugantor.com
2,http://www.dailyjanakantha.com
3,http://www.techtunes.com.bd
4,http://www.aajkaal.in
5,http://www.prothom-alo.com
6,http://www.kanchanmoni.com
7,http://www.banglalive.com
8,http://www.epratidin.in
9,http://www.abasar.net
10,http://www.parabaas.com
11,http://www.shodalap.org
12,http://www.ekushey.org
13,http://www.techmasterblog.com
14,http://www.kobita.ws
15,http://www.deshigreetings.com
16,http://www.sabjanta.info
17,http://www.shatorupa.com
18,http://www.munshigonj.com
19,http://www.bangaliblogger.blogspot.com
20,http://www.gronthamela.com
21,http://www.techbangla.info
22,http://www.greaternoakhali.net.bd
