,Link
0,http://www.google.com
1,http://www.youtube.com
2,http://www.google.com
3,http://www.facebook.com
4,http://www.linkedin.com
5,http://www.google.fr
6,http://www.bing.com
7,http://www.adobe.com
8,http://www.booking.com
9,http://www.softonic.com
10,http://www.etsy.com
11,http://www.amazon.fr
12,http://www.microsoft.com
13,http://www.wikipedia.org
14,http://www.livejournal.com
15,http://www.speedtest.net
16,http://www.google.be
17,http://www.ikea.com
18,http://www.amazon.ca
19,http://www.reverso.net
20,http://www.orange.fr
21,http://www.weebly.com
22,http://www.leboncoin.fr
23,http://www.flickr.com
24,http://www.skype.com
25,http://www.free.fr
26,http://www.wix.com
27,http://www.hm.com
28,http://www.adp.com
29,http://www.kijiji.ca
30,http://www.td.com
31,http://www.agoda.com
32,http://www.yahoo.com
33,http://www.ebay.fr
34,http://www.europa.eu
35,http://www.lemonde.fr
36,http://www.xe.com
37,http://www.dafont.com
38,http://www.groups.google.com
39,http://www.labanquepostale.fr
40,http://www.badoo.com
41,http://www.lefigaro.fr
42,http://www.fr.search.yahoo.com
43,http://www.delta.com
44,http://www.pole-emploi.fr
45,http://www.zara.com
46,http://www.dw.com
47,http://www.sfr.fr
48,http://www.allocine.fr
49,http://www.ryanair.com
