,Link
0,http://www.renfe.com
1,http://www.xunta.es
2,http://www.lavozdegalicia.es
3,http://www.xunta.es
4,http://www.boe.es
5,http://www.abanca.com
6,http://www.farodevigo.es
7,http://www.usc.es
8,http://www.udc.es
9,http://www.administracion.gob.es
10,http://www.sergas.es
11,http://www.mundo-r.com
12,http://www.europeana.eu
13,http://www.paxinasgalegas.es
14,http://www.wikipedia.org
15,http://www.msssi.gob.es
16,http://www.crtvg.es
17,http://www.uvigo.es
18,http://www.uvigo.gal
19,http://www.parador.es
20,http://www.dinahosting.com
21,http://www.academia.gal
22,http://www.vigo.org
23,http://www.imosver.com
24,http://www.bancopastor.es
25,http://www.turismo.gal
26,http://www.xunta.es
27,http://www.minhap.gob.es
28,http://www.praza.gal
29,http://www.usc.es
30,http://www.idae.es
31,http://www.galiciaconfidencial.com
32,http://www.iessanclemente.net
33,http://www.xunta.gal
34,http://www.sycitv.com
35,http://www.futgal.es
36,http://www.eulen.com
37,http://www.eoidevigo.org
38,http://www.eidolocal.gal
39,http://www.fremap.es
40,http://www.coruna.es
41,http://www.ciudadanos-cs.org
42,http://www.deporte.xunta.gal
43,http://www.conselleriadefacenda.es
44,http://www.lingua.gal
45,http://www.sermosgaliza.gal
46,http://www.santiagoturismo.com
47,http://www.copecarballino.es
48,http://www.fiarebancaetica.coop
49,http://www.iesmonterroso.org
