,Link
0,http://www.google.com
1,http://www.twitter.com
2,http://www.netflix.com
3,http://www.linkedin.com
4,http://www.bing.com
5,http://www.msn.com
6,http://www.imdb.com
7,http://www.google.it
8,http://www.booking.com
9,http://www.spotify.com
10,http://www.google.com
11,http://www.amazon.it
12,http://www.ikea.com
13,http://www.wikipedia.org
14,http://www.flickr.com
15,http://www.ups.com
16,http://www.skype.com
17,http://www.oracle.com
18,http://www.springer.com
19,http://www.ebay.it
20,http://www.repubblica.it
21,http://www.utorrent.com
22,http://www.ea.com
23,http://www.subito.it
24,http://www.goal.com
25,http://www.europa.eu
26,http://www.meetup.com
27,http://www.badoo.com
28,http://www.corriere.it
29,http://www.ryanair.com
30,http://www.tim.it
31,http://www.poste.it
32,http://www.gazzetta.it
33,http://www.xbox.com
34,http://www.twoo.com
35,http://www.last.fm
36,http://www.mediaset.it
37,http://www.virgilio.it
38,http://www.tagged.com
39,http://www.ilfattoquotidiano.it
40,http://www.deezer.com
41,http://www.ilmeteo.it
42,http://www.gameforge.com
43,http://www.yoox.com
44,http://www.change.org
45,http://www.altervista.org
46,http://www.xing.com
47,http://www.it.search.yahoo.com
48,http://www.ansa.it
49,http://www.easyjet.com
