,Link
0,http://www.facebook.com
1,http://www.livejournal.com
2,http://www.ups.com
3,http://www.europa.eu
4,http://www.google.lt
5,http://www.ryanair.com
6,http://www.delfi.lt
7,http://www.debian.org
8,http://www.skelbiu.lt
9,http://www.openstreetmap.org
10,http://www.15min.lt
11,http://www.swedbank.lt
12,http://www.lrytas.lt
13,http://www.autogidas.lt
14,http://www.europa.eu
15,http://www.tv3.lt
16,http://www.europa.eu
17,http://www.seb.lt
18,http://www.pigu.lt
19,http://www.vz.lt
20,http://www.hrs.de
21,http://www.linkomanija.net
22,http://www.google.com
23,http://www.airbaltic.com
24,http://www.draugas.lt
25,http://www.rememberthemilk.com
26,http://www.meteo.lt
27,http://www.aruodas.lt
28,http://www.senukai.lt
29,http://www.krepsinis.net
30,http://www.alio.lt
31,http://www.topsport.lt
32,http://www.emule-project.net
33,http://www.lrt.lt
34,http://www.vu.lt
35,http://www.cvbankas.lt
36,http://www.dnb.lt
37,http://www.tele2.lt
38,http://www.sodra.lt
39,http://www.post.lt
40,http://www.basketnews.lt
41,http://www.perlas.lt
42,http://www.kaina24.lt
43,http://www.consilium.europa.eu
44,http://www.topocentras.lt
45,http://www.fotki.com
46,http://www.ldb.lt
47,http://www.alfa.lt
48,http://www.iate.europa.eu
49,http://www.maxima.lt
