,Link
0,http://www.yahoo.com
1,http://www.bing.com
2,http://www.microsoft.com
3,http://www.siteadvisor.com
4,http://www.google.hu
5,http://www.index.hu
6,http://www.logitech.com
7,http://www.origo.hu
8,http://www.jofogas.hu
9,http://www.freemail.hu
10,http://www.idokep.hu
11,http://www.debian.org
12,http://www.forvo.com
13,http://www.blog.hu
14,http://www.hvg.hu
15,http://www.444.hu
16,http://www.arukereso.hu
17,http://www.blikk.hu
18,http://www.indavideo.hu
19,http://www.gyakorikerdesek.hu
20,http://www.nielsen.com
21,http://www.vatera.hu
22,http://www.port.hu
23,http://www.otpbank.hu
24,http://www.nemzetisport.hu
25,http://www.eredmenyek.com
26,http://www.femina.hu
27,http://www.ingatlan.com
28,http://www.portfolio.hu
29,http://www.telekom.hu
30,http://www.hazipatika.com
31,http://www.napi.hu
32,http://www.nosalty.hu
33,http://www.bme.hu
34,http://www.elte.hu
35,http://www.argep.hu
36,http://www.profession.hu
37,http://www.bridgebase.com
38,http://www.erstebank.hu
39,http://www.sztaki.hu
40,http://www.vezess.hu
41,http://www.prohardver.hu
42,http://www.unideb.hu
43,http://www.szerencsejatek.hu
44,http://www.raiffeisen.hu
45,http://www.edigital.hu
46,http://www.magyarorszag.hu
47,http://www.u-szeged.hu
48,http://www.koponyeg.hu
49,http://www.webbeteg.hu
