,Link
0,http://www.google.com.br
1,http://www.bing.com
2,http://www.globo.com
3,http://www.uol.com.br
4,http://www.mercadolivre.com.br
5,http://www.blogger.com
6,http://www.wikipedia.org
7,http://www.jw.org
8,http://www.caixa.gov.br
9,http://www.google.com.br
10,http://www.americanas.com.br
11,http://www.sapo.pt
12,http://www.bol.uol.com.br
13,http://www.abola.pt
14,http://www.folha.uol.com.br
15,http://www.letras.mus.br
16,http://www.fazenda.gov.br
17,http://www.baixaki.com.br
18,http://www.lds.org
19,http://www.globo.com
20,http://www.sapo.ao
21,http://www.itau.com.br
22,http://www.scielo.br
23,http://www.club-k.net
24,http://www.terra.com.br
25,http://www.mit.edu
26,http://www.euronews.com
27,http://www.estadao.com.br
28,http://www.bancobrasil.com.br
29,http://www.gazetadopovo.com.br
30,http://www.ig.com.br
31,http://www.angop.ao
32,http://www.mec.gov.br
33,http://www.sapo.ao
34,http://www.submarino.com.br
35,http://www.usp.br
36,http://www.globo.com
37,http://www.cifraclub.com.br
38,http://www.adorocinema.com
39,http://www.bradesco.com.br
40,http://www.record.pt
41,http://www.r7.com
42,http://www.jogos360.com.br
43,http://www.netshoes.com.br
44,http://www.vivo.com.br
45,http://www.vagalume.com.br
46,http://www.oi.com.br
47,http://www.pciconcursos.com.br
48,http://www.qconcursos.com
49,http://www.unb.br
