,Link
0,http://www.jw.org
1,http://www.tatarstan.ru
2,http://www.islamhouse.com
3,http://www.tatar-inform.ru
4,http://www.wikipedia.org
5,http://www.kzn.ru
6,http://www.tatarstan.ru
7,http://www.matbugat.ru
8,http://www.tatpoisk.net
9,http://www.sportacadem.ru
10,http://www.tatarstan.ru
11,http://www.kukmor-rt.ru
12,http://www.azatliq.org
13,http://www.dumrt.ru
14,http://www.tatarstan.ru
15,http://www.harunyahya.com
16,http://www.kitap.net.ru
17,http://www.erlar.ru
18,http://www.tatarstan.ru
19,http://www.tatar-congress.org
20,http://www.tatarstan.ru
21,http://www.sabyem.ru
22,http://www.tatarstan.ru
23,http://www.tatarstan.ru
24,http://www.tatarstan.ru
25,http://www.magarif-uku.ru
26,http://www.kazgau.ru
27,http://www.maratkabirov.com
28,http://www.kazanutlary.ru
29,http://www.ksu.ru
30,http://www.tatarradio.ru
31,http://www.tatarstan.ru
32,http://www.kiziltan.ru
33,http://www.tatmuseum.ru
34,http://www.tatarstan.ru
35,http://www.shigriyat.ru
36,http://www.tatarstan.ru
37,http://www.minfin.tatarstan.ru
38,http://www.minjust.tatarstan.ru
39,http://www.yuldash.com
40,http://www.mchs.tatarstan.ru
41,http://www.mpt.tatarstan.ru
42,http://www.mzio.tatarstan.ru
43,http://www.watan.su
44,http://www.minleshoz.tatarstan.ru
45,http://www.tatshop.ru
46,http://www.mindortrans.tatarstan.ru
47,http://www.tatmedia.ru
48,http://www.gabdullatukay.ru
49,http://www.tuylar.ru
