,Link
0,http://www.google.com
1,http://www.facebook.com
2,http://www.vk.com
3,http://www.ok.ru
4,http://www.google.com.ua
5,http://www.google.com
6,http://www.blogger.com
7,http://www.privatbank.ua
8,http://www.i.ua
9,http://www.wikipedia.org
10,http://www.yandex.ua
11,http://www.korrespondent.net
12,http://www.1plus1.ua
13,http://www.tsn.ua
14,http://www.pravda.com.ua
15,http://www.24tv.ua
16,http://www.rp5.ua
17,http://www.debian.org
18,http://www.gnu.org
19,http://www.hotline.ua
20,http://www.unian.net
21,http://www.112.ua
22,http://www.gazeta.ua
23,http://www.flyuia.com
24,http://www.rada.gov.ua
25,http://www.stb.ua
26,http://www.pandasecurity.com
27,http://www.ictv.ua
28,http://www.kyivstar.ua
29,http://www.uz.gov.ua
30,http://www.meta.ua
31,http://www.tochka.net
32,http://www.newsone.ua
33,http://www.ucoz.ua
34,http://www.novy.tv
35,http://www.fonts2u.com
36,http://www.ictv.ua
37,http://www.roboform.com
38,http://www.zik.ua
39,http://www.espreso.tv
40,http://www.ukrlib.com.ua
41,http://www.oschadbank.ua
42,http://www.mon.gov.ua
43,http://www.football24.ua
44,http://www.eurointegration.com.ua
45,http://www.mail.i.ua
46,http://www.austrian.com
47,http://www.mfa.gov.ua
48,http://www.ukrinform.ua
49,http://www.unn.com.ua
